[train: 1, 1950 / 3750] FPS: 21.8 (22.6)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.52431  ,  Loss/giou: 0.36256  ,  Loss/l1: 0.03950  ,  Loss/location: 0.60168  ,  IoU: 0.68146
[train: 1, 2000 / 3750] FPS: 21.8 (20.1)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.52238  ,  Loss/giou: 0.36222  ,  Loss/l1: 0.03942  ,  Loss/location: 0.60084  ,  IoU: 0.68170
[train: 1, 2050 / 3750] FPS: 21.8 (23.7)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.51810  ,  Loss/giou: 0.36145  ,  Loss/l1: 0.03926  ,  Loss/location: 0.59890  ,  IoU: 0.68222
[train: 1, 2100 / 3750] FPS: 21.8 (23.6)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.51589  ,  Loss/giou: 0.36104  ,  Loss/l1: 0.03922  ,  Loss/location: 0.59772  ,  IoU: 0.68261
[train: 1, 2150 / 3750] FPS: 21.8 (21.8)  ,  DataTime: 0.590 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.51275  ,  Loss/giou: 0.36045  ,  Loss/l1: 0.03911  ,  Loss/location: 0.59629  ,  IoU: 0.68305
[train: 1, 2200 / 3750] FPS: 21.8 (19.4)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.51004  ,  Loss/giou: 0.35993  ,  Loss/l1: 0.03899  ,  Loss/location: 0.59522  ,  IoU: 0.68344
[train: 1, 2250 / 3750] FPS: 21.8 (20.2)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.50843  ,  Loss/giou: 0.35963  ,  Loss/l1: 0.03899  ,  Loss/location: 0.59424  ,  IoU: 0.68381
[train: 1, 2300 / 3750] FPS: 21.8 (21.5)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.50401  ,  Loss/giou: 0.35876  ,  Loss/l1: 0.03883  ,  Loss/location: 0.59233  ,  IoU: 0.68448
[train: 1, 2350 / 3750] FPS: 21.8 (20.9)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.50123  ,  Loss/giou: 0.35833  ,  Loss/l1: 0.03877  ,  Loss/location: 0.59072  ,  IoU: 0.68483
[train: 1, 2400 / 3750] FPS: 21.8 (22.7)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.49948  ,  Loss/giou: 0.35794  ,  Loss/l1: 0.03872  ,  Loss/location: 0.59000  ,  IoU: 0.68517
[train: 1, 2450 / 3750] FPS: 21.8 (22.7)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.49758  ,  Loss/giou: 0.35753  ,  Loss/l1: 0.03866  ,  Loss/location: 0.58921  ,  IoU: 0.68547
[train: 1, 2500 / 3750] FPS: 21.8 (20.4)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.49416  ,  Loss/giou: 0.35686  ,  Loss/l1: 0.03854  ,  Loss/location: 0.58772  ,  IoU: 0.68597
[train: 1, 2550 / 3750] FPS: 21.8 (21.7)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.49119  ,  Loss/giou: 0.35635  ,  Loss/l1: 0.03846  ,  Loss/location: 0.58619  ,  IoU: 0.68639
[train: 1, 2600 / 3750] FPS: 21.8 (22.2)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.48871  ,  Loss/giou: 0.35589  ,  Loss/l1: 0.03838  ,  Loss/location: 0.58501  ,  IoU: 0.68675
[train: 1, 2650 / 3750] FPS: 21.8 (20.9)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.48553  ,  Loss/giou: 0.35516  ,  Loss/l1: 0.03826  ,  Loss/location: 0.58392  ,  IoU: 0.68729
[train: 1, 2700 / 3750] FPS: 21.8 (21.7)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.48286  ,  Loss/giou: 0.35456  ,  Loss/l1: 0.03817  ,  Loss/location: 0.58289  ,  IoU: 0.68778
[train: 1, 2750 / 3750] FPS: 21.8 (21.0)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.48112  ,  Loss/giou: 0.35419  ,  Loss/l1: 0.03811  ,  Loss/location: 0.58217  ,  IoU: 0.68805
[train: 1, 2800 / 3750] FPS: 21.8 (23.1)  ,  DataTime: 0.591 (0.013)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.47870  ,  Loss/giou: 0.35369  ,  Loss/l1: 0.03805  ,  Loss/location: 0.58106  ,  IoU: 0.68845
[train: 1, 2850 / 3750] FPS: 21.8 (23.0)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.734  ,  Loss/total: 1.47748  ,  Loss/giou: 0.35350  ,  Loss/l1: 0.03806  ,  Loss/location: 0.58018  ,  IoU: 0.68869
[train: 1, 2900 / 3750] FPS: 21.8 (23.3)  ,  DataTime: 0.591 (0.012)  ,  ForwardTime: 0.130  ,  TotalTime: 0.733  ,  Loss/total: 1.47418  ,  Loss/giou: 0.35285  ,  Loss/l1: 0.03797  ,  Loss/location: 0.57865  ,  IoU: 0.68923
